"dguid","char","period","total","o","om","onm","r","rs","rns"
1101040,"1.26% to 2%","Before 2016",60,50,45,0,0,0,0
1101040,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1101040,"2.1% to 3%","Total",0,0,0,0,0,0,0
1101040,"2.1% to 3%","Before 2016",0,0,0,0,0,0,0
1101040,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1101040,"3.1% or over","Total",0,0,0,0,0,0,0
1101040,"3.1% or over","Before 2016",0,0,0,0,0,0,0
1101040,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1101043,"Total","Total",505,470,235,235,35,0,35
1101043,"Total","Before 2016",475,445,210,230,35,0,35
1101043,"Total","2016 to 2021",30,30,20,0,0,0,0
1101043,"1+ person with limitation","Total",45,40,40,0,0,0,0
1101043,"1+ person with limitation","Before 2016",35,30,30,0,0,0,0
1101043,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1101043,"Veteran in household","Total",35,30,25,0,0,0,0
1101043,"Veteran in household","Before 2016",30,25,20,0,0,0,0
1101043,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1101043,"0.5% or under","Total",175,160,0,160,15,0,15
1101043,"0.5% or under","Before 2016",175,155,0,155,15,0,15
1101043,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1101043,"0.6% to 1.25%","Total",175,165,90,75,0,0,0
1101043,"0.6% to 1.25%","Before 2016",175,165,90,75,0,0,0
1101043,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1101043,"1.26% to 2%","Total",110,105,105,0,0,0,0
1101043,"1.26% to 2%","Before 2016",105,100,100,0,0,0,0
1101043,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1101043,"2.1% to 3%","Total",40,40,40,0,0,0,0
1101043,"2.1% to 3%","Before 2016",20,20,20,0,0,0,0
1101043,"2.1% to 3%","2016 to 2021",20,20,20,0,0,0,0
1101043,"3.1% or over","Total",0,0,0,0,0,0,0
1101043,"3.1% or over","Before 2016",0,0,0,0,0,0,0
1101043,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1101044,"Total","Total",NA,NA,NA,NA,NA,NA,NA
1101044,"Total","Before 2016",NA,NA,NA,NA,NA,NA,NA
1101044,"Total","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1101044,"1+ person with limitation","Total",NA,NA,NA,NA,NA,NA,NA
1101044,"1+ person with limitation","Before 2016",NA,NA,NA,NA,NA,NA,NA
1101044,"1+ person with limitation","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1101044,"Veteran in household","Total",NA,NA,NA,NA,NA,NA,NA
1101044,"Veteran in household","Before 2016",NA,NA,NA,NA,NA,NA,NA
1101044,"Veteran in household","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1101044,"0.5% or under","Total",NA,NA,NA,NA,NA,NA,NA
1101044,"0.5% or under","Before 2016",NA,NA,NA,NA,NA,NA,NA
1101044,"0.5% or under","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1101044,"0.6% to 1.25%","Total",NA,NA,NA,NA,NA,NA,NA
1101044,"0.6% to 1.25%","Before 2016",NA,NA,NA,NA,NA,NA,NA
1101044,"0.6% to 1.25%","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1101044,"1.26% to 2%","Total",NA,NA,NA,NA,NA,NA,NA
1101044,"1.26% to 2%","Before 2016",NA,NA,NA,NA,NA,NA,NA
1101044,"1.26% to 2%","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1101044,"2.1% to 3%","Total",NA,NA,NA,NA,NA,NA,NA
1101044,"2.1% to 3%","Before 2016",NA,NA,NA,NA,NA,NA,NA
1101044,"2.1% to 3%","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1101044,"3.1% or over","Total",NA,NA,NA,NA,NA,NA,NA
1101044,"3.1% or over","Before 2016",NA,NA,NA,NA,NA,NA,NA
1101044,"3.1% or over","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1101045,"Total","Total",3235,2345,1150,1185,890,310,575
1101045,"Total","Before 2016",2980,2160,1025,1135,825,275,545
1101045,"Total","2016 to 2021",250,185,130,55,65,35,35
1101045,"1+ person with limitation","Total",350,260,185,80,80,25,55
1101045,"1+ person with limitation","Before 2016",295,225,150,80,70,25,50
1101045,"1+ person with limitation","2016 to 2021",50,35,35,0,0,0,0
1101045,"Veteran in household","Total",150,125,80,50,25,0,15
1101045,"Veteran in household","Before 2016",140,110,70,40,25,0,15
1101045,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1101045,"0.5% or under","Total",595,515,0,515,80,20,60
1101045,"0.5% or under","Before 2016",570,490,0,490,80,20,60
1101045,"0.5% or under","2016 to 2021",30,30,0,25,0,0,0
1101045,"0.6% to 1.25%","Total",1265,860,230,625,405,205,195
1101045,"0.6% to 1.25%","Before 2016",1215,825,220,605,390,195,195
1101045,"0.6% to 1.25%","2016 to 2021",50,35,0,30,0,0,0
1101045,"1.26% to 2%","Total",940,600,565,35,345,85,255
1101045,"1.26% to 2%","Before 2016",855,560,525,30,300,70,235
1101045,"1.26% to 2%","2016 to 2021",85,40,35,0,40,20,20
1101045,"2.1% to 3%","Total",325,260,245,0,65,0,65
1101045,"2.1% to 3%","Before 2016",275,220,210,0,55,0,55
1101045,"2.1% to 3%","2016 to 2021",50,30,30,0,0,0,0
1101045,"3.1% or over","Total",110,110,110,0,0,0,0
1101045,"3.1% or over","Before 2016",65,65,65,0,0,0,0
1101045,"3.1% or over","2016 to 2021",45,45,45,0,0,0,0
1101048,"Total","Total",115,105,60,40,0,0,0
1101048,"Total","Before 2016",110,95,55,40,0,0,0
1101048,"Total","2016 to 2021",0,0,0,0,0,0,0
1101048,"1+ person with limitation","Total",0,0,0,0,0,0,0
1101048,"1+ person with limitation","Before 2016",0,0,0,0,0,0,0
1101048,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1101048,"Veteran in household","Total",0,0,0,0,0,0,0
1101048,"Veteran in household","Before 2016",0,0,0,0,0,0,0
1101048,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1101048,"0.5% or under","Total",35,25,0,25,0,0,0
1101048,"0.5% or under","Before 2016",35,25,0,25,0,0,0
1101048,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1101048,"0.6% to 1.25%","Total",75,70,55,0,0,0,0
1101048,"0.6% to 1.25%","Before 2016",65,65,50,0,0,0,0
1101048,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1101048,"1.26% to 2%","Total",0,0,0,0,0,0,0
1101048,"1.26% to 2%","Before 2016",0,0,0,0,0,0,0
1101048,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1101048,"2.1% to 3%","Total",0,0,0,0,0,0,0
1101048,"2.1% to 3%","Before 2016",0,0,0,0,0,0,0
1101048,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1101048,"3.1% or over","Total",0,0,0,0,0,0,0
1101048,"3.1% or over","Before 2016",0,0,0,0,0,0,0
1101048,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1101052,"Total","Total",205,180,95,90,30,0,30
1101052,"Total","Before 2016",185,155,75,80,30,0,30
1101052,"Total","2016 to 2021",25,25,15,0,0,0,0
1101052,"1+ person with limitation","Total",15,0,0,0,0,0,0
1101052,"1+ person with limitation","Before 2016",15,0,0,0,0,0,0
1101052,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1101052,"Veteran in household","Total",0,0,0,0,0,0,0
1101052,"Veteran in household","Before 2016",0,0,0,0,0,0,0
1101052,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1101052,"0.5% or under","Total",80,65,0,65,0,0,0
1101052,"0.5% or under","Before 2016",70,60,0,60,0,0,0
1101052,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1101052,"0.6% to 1.25%","Total",50,40,25,15,10,0,10
1101052,"0.6% to 1.25%","Before 2016",50,40,25,15,10,0,10
1101052,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1101052,"1.26% to 2%","Total",55,45,45,0,0,0,0
1101052,"1.26% to 2%","Before 2016",50,40,40,0,0,0,0
1101052,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1101052,"2.1% to 3%","Total",15,15,15,0,0,0,0
1101052,"2.1% to 3%","Before 2016",0,0,0,0,0,0,0
1101052,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1101052,"3.1% or over","Total",0,0,0,0,0,0,0
1101052,"3.1% or over","Before 2016",0,0,0,0,0,0,0
1101052,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1102002,"Total","Total",645,585,245,345,55,0,45
1102002,"Total","Before 2016",635,570,235,335,55,0,45
1102002,"Total","2016 to 2021",0,0,0,0,0,0,0
1102002,"1+ person with limitation","Total",90,85,45,40,0,0,0
1102002,"1+ person with limitation","Before 2016",85,80,45,40,0,0,0
1102002,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1102002,"Veteran in household","Total",55,55,0,45,0,0,0
1102002,"Veteran in household","Before 2016",55,55,0,45,0,0,0
1102002,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1102002,"0.5% or under","Total",190,170,0,170,20,0,20
1102002,"0.5% or under","Before 2016",190,170,0,170,20,0,20
1102002,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1102002,"0.6% to 1.25%","Total",230,215,50,165,15,0,0
1102002,"0.6% to 1.25%","Before 2016",225,210,45,155,15,0,0
1102002,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1102002,"1.26% to 2%","Total",170,150,145,0,25,0,20
1102002,"1.26% to 2%","Before 2016",170,145,145,0,25,0,20
1102002,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1102002,"2.1% to 3%","Total",35,35,35,0,0,0,0
1102002,"2.1% to 3%","Before 2016",35,35,35,0,0,0,0
1102002,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1102002,"3.1% or over","Total",0,0,0,0,0,0,0
1102002,"3.1% or over","Before 2016",0,0,0,0,0,0,0
1102002,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1102003,"Total","Total",NA,NA,NA,NA,NA,NA,NA
1102003,"Total","Before 2016",NA,NA,NA,NA,NA,NA,NA
1102003,"Total","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1102003,"1+ person with limitation","Total",NA,NA,NA,NA,NA,NA,NA
1102003,"1+ person with limitation","Before 2016",NA,NA,NA,NA,NA,NA,NA
1102003,"1+ person with limitation","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1102003,"Veteran in household","Total",NA,NA,NA,NA,NA,NA,NA
1102003,"Veteran in household","Before 2016",NA,NA,NA,NA,NA,NA,NA
1102003,"Veteran in household","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1102003,"0.5% or under","Total",NA,NA,NA,NA,NA,NA,NA
1102003,"0.5% or under","Before 2016",NA,NA,NA,NA,NA,NA,NA
1102003,"0.5% or under","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1102003,"0.6% to 1.25%","Total",NA,NA,NA,NA,NA,NA,NA
1102003,"0.6% to 1.25%","Before 2016",NA,NA,NA,NA,NA,NA,NA
1102003,"0.6% to 1.25%","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1102003,"1.26% to 2%","Total",NA,NA,NA,NA,NA,NA,NA
1102003,"1.26% to 2%","Before 2016",NA,NA,NA,NA,NA,NA,NA
1102003,"1.26% to 2%","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1102003,"2.1% to 3%","Total",NA,NA,NA,NA,NA,NA,NA
1102003,"2.1% to 3%","Before 2016",NA,NA,NA,NA,NA,NA,NA
1102003,"2.1% to 3%","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1102003,"3.1% or over","Total",NA,NA,NA,NA,NA,NA,NA
1102003,"3.1% or over","Before 2016",NA,NA,NA,NA,NA,NA,NA
1102003,"3.1% or over","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1102005,"Total","Total",NA,NA,NA,NA,NA,NA,NA
1102005,"Total","Before 2016",NA,NA,NA,NA,NA,NA,NA
1102005,"Total","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1102005,"1+ person with limitation","Total",NA,NA,NA,NA,NA,NA,NA
1102005,"1+ person with limitation","Before 2016",NA,NA,NA,NA,NA,NA,NA
1102005,"1+ person with limitation","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1102005,"Veteran in household","Total",NA,NA,NA,NA,NA,NA,NA
1102005,"Veteran in household","Before 2016",NA,NA,NA,NA,NA,NA,NA
1102005,"Veteran in household","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1102005,"0.5% or under","Total",NA,NA,NA,NA,NA,NA,NA
1102005,"0.5% or under","Before 2016",NA,NA,NA,NA,NA,NA,NA
1102005,"0.5% or under","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1102005,"0.6% to 1.25%","Total",NA,NA,NA,NA,NA,NA,NA
1102005,"0.6% to 1.25%","Before 2016",NA,NA,NA,NA,NA,NA,NA
1102005,"0.6% to 1.25%","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1102005,"1.26% to 2%","Total",NA,NA,NA,NA,NA,NA,NA
1102005,"1.26% to 2%","Before 2016",NA,NA,NA,NA,NA,NA,NA
1102005,"1.26% to 2%","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1102005,"2.1% to 3%","Total",NA,NA,NA,NA,NA,NA,NA
1102005,"2.1% to 3%","Before 2016",NA,NA,NA,NA,NA,NA,NA
1102005,"2.1% to 3%","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1102005,"3.1% or over","Total",NA,NA,NA,NA,NA,NA,NA
1102005,"3.1% or over","Before 2016",NA,NA,NA,NA,NA,NA,NA
1102005,"3.1% or over","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1102010,"Total","Total",690,625,375,250,65,0,55
1102010,"Total","Before 2016",615,555,315,230,60,0,50
1102010,"Total","2016 to 2021",75,75,60,15,0,0,0
1102010,"1+ person with limitation","Total",100,90,70,20,0,0,0
1102010,"1+ person with limitation","Before 2016",85,75,60,20,0,0,0
1102010,"1+ person with limitation","2016 to 2021",15,15,15,0,0,0,0
1102010,"Veteran in household","Total",70,65,45,25,0,0,0
1102010,"Veteran in household","Before 2016",65,60,45,20,0,0,0
1102010,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1102010,"0.5% or under","Total",160,155,0,155,0,0,0
1102010,"0.5% or under","Before 2016",155,150,0,150,0,0,0
1102010,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1102010,"0.6% to 1.25%","Total",275,240,150,95,35,0,30
1102010,"0.6% to 1.25%","Before 2016",260,220,140,85,35,0,30
1102010,"0.6% to 1.25%","2016 to 2021",20,20,0,0,0,0,0
1102010,"1.26% to 2%","Total",165,150,150,0,20,0,20
1102010,"1.26% to 2%","Before 2016",130,115,115,0,0,0,0
1102010,"1.26% to 2%","2016 to 2021",45,35,35,0,0,0,0
1102010,"2.1% to 3%","Total",75,65,65,0,0,0,0
1102010,"2.1% to 3%","Before 2016",60,55,55,0,0,0,0
1102010,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1102010,"3.1% or over","Total",0,0,0,0,0,0,0
1102010,"3.1% or over","Before 2016",0,0,0,0,0,0,0
1102010,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1102011,"Total","Total",NA,NA,NA,NA,NA,NA,NA
1102011,"Total","Before 2016",NA,NA,NA,NA,NA,NA,NA
1102011,"Total","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1102011,"1+ person with limitation","Total",NA,NA,NA,NA,NA,NA,NA
1102011,"1+ person with limitation","Before 2016",NA,NA,NA,NA,NA,NA,NA
1102011,"1+ person with limitation","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1102011,"Veteran in household","Total",NA,NA,NA,NA,NA,NA,NA
1102011,"Veteran in household","Before 2016",NA,NA,NA,NA,NA,NA,NA
1102011,"Veteran in household","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1102011,"0.5% or under","Total",NA,NA,NA,NA,NA,NA,NA
1102011,"0.5% or under","Before 2016",NA,NA,NA,NA,NA,NA,NA
1102011,"0.5% or under","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1102011,"0.6% to 1.25%","Total",NA,NA,NA,NA,NA,NA,NA
1102011,"0.6% to 1.25%","Before 2016",NA,NA,NA,NA,NA,NA,NA
1102011,"0.6% to 1.25%","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1102011,"1.26% to 2%","Total",NA,NA,NA,NA,NA,NA,NA
1102011,"1.26% to 2%","Before 2016",NA,NA,NA,NA,NA,NA,NA
1102011,"1.26% to 2%","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1102011,"2.1% to 3%","Total",NA,NA,NA,NA,NA,NA,NA
1102011,"2.1% to 3%","Before 2016",NA,NA,NA,NA,NA,NA,NA
1102011,"2.1% to 3%","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1102011,"3.1% or over","Total",NA,NA,NA,NA,NA,NA,NA
1102011,"3.1% or over","Before 2016",NA,NA,NA,NA,NA,NA,NA
1102011,"3.1% or over","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1102013,"Total","Total",100,85,30,50,20,0,20
1102013,"Total","Before 2016",95,85,30,50,0,0,0
1102013,"Total","2016 to 2021",0,0,0,0,0,0,0
1102013,"1+ person with limitation","Total",15,15,0,0,0,0,0
1102013,"1+ person with limitation","Before 2016",15,15,0,0,0,0,0
1102013,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1102013,"Veteran in household","Total",0,0,0,0,0,0,0
1102013,"Veteran in household","Before 2016",0,0,0,0,0,0,0
1102013,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1102013,"0.5% or under","Total",35,35,0,35,0,0,0
1102013,"0.5% or under","Before 2016",35,35,0,35,0,0,0
1102013,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1102013,"0.6% to 1.25%","Total",30,20,0,0,0,0,0
1102013,"0.6% to 1.25%","Before 2016",25,20,0,0,0,0,0
1102013,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1102013,"1.26% to 2%","Total",25,20,20,0,0,0,0
1102013,"1.26% to 2%","Before 2016",25,20,20,0,0,0,0
1102013,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1102013,"2.1% to 3%","Total",0,0,0,0,0,0,0
1102013,"2.1% to 3%","Before 2016",0,0,0,0,0,0,0
1102013,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1102013,"3.1% or over","Total",0,0,0,0,0,0,0
1102013,"3.1% or over","Before 2016",0,0,0,0,0,0,0
1102013,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1102015,"Total","Total",140,130,70,60,15,0,15
1102015,"Total","Before 2016",130,115,60,60,15,0,15
1102015,"Total","2016 to 2021",0,0,0,0,0,0,0
1102015,"1+ person with limitation","Total",25,20,10,0,0,0,0
1102015,"1+ person with limitation","Before 2016",25,20,10,0,0,0,0
1102015,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1102015,"Veteran in household","Total",0,0,0,0,0,0,0
1102015,"Veteran in household","Before 2016",0,0,0,0,0,0,0
1102015,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1102015,"0.5% or under","Total",50,50,0,50,0,0,0
1102015,"0.5% or under","Before 2016",50,50,0,50,0,0,0
1102015,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1102015,"0.6% to 1.25%","Total",45,35,25,0,0,0,0
1102015,"0.6% to 1.25%","Before 2016",45,35,25,0,0,0,0
1102015,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1102015,"1.26% to 2%","Total",45,40,40,0,0,0,0
1102015,"1.26% to 2%","Before 2016",35,30,30,0,0,0,0
1102015,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1102015,"2.1% to 3%","Total",0,0,0,0,0,0,0
1102015,"2.1% to 3%","Before 2016",0,0,0,0,0,0,0
1102015,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1102015,"3.1% or over","Total",0,0,0,0,0,0,0
1102015,"3.1% or over","Before 2016",0,0,0,0,0,0,0
1102015,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1102016,"Total","Total",850,785,460,325,65,0,65
1102016,"Total","Before 2016",820,760,450,315,60,0,55
1102016,"Total","2016 to 2021",35,25,0,0,0,0,0
1102016,"1+ person with limitation","Total",120,110,75,35,0,0,0
1102016,"1+ person with limitation","Before 2016",115,100,65,35,0,0,0
1102016,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1102016,"Veteran in household","Total",60,60,45,0,0,0,0
1102016,"Veteran in household","Before 2016",55,55,45,0,0,0,0
1102016,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1102016,"0.5% or under","Total",250,235,0,235,15,0,15
1102016,"0.5% or under","Before 2016",235,225,0,225,0,0,0
1102016,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1102016,"0.6% to 1.25%","Total",325,300,210,85,25,0,25
1102016,"0.6% to 1.25%","Before 2016",315,290,205,85,25,0,25
1102016,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1102016,"1.26% to 2%","Total",215,195,190,0,20,0,20
1102016,"1.26% to 2%","Before 2016",210,190,190,0,20,0,15
1102016,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1102016,"2.1% to 3%","Total",50,50,50,0,0,0,0
1102016,"2.1% to 3%","Before 2016",50,50,50,0,0,0,0
1102016,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1102016,"3.1% or over","Total",0,0,0,0,0,0,0
1102016,"3.1% or over","Before 2016",0,0,0,0,0,0,0
1102016,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1102017,"Total","Total",1655,1430,810,620,225,0,220
1102017,"Total","Before 2016",1460,1250,690,560,210,0,200
1102017,"Total","2016 to 2021",190,180,120,60,0,0,0
1102017,"1+ person with limitation","Total",220,200,150,55,20,0,20
1102017,"1+ person with limitation","Before 2016",195,180,135,50,20,0,20
1102017,"1+ person with limitation","2016 to 2021",25,25,15,0,0,0,0
1102017,"Veteran in household","Total",100,95,50,50,0,0,0
1102017,"Veteran in household","Before 2016",100,95,45,50,0,0,0
1102017,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1102017,"0.5% or under","Total",470,415,20,395,55,0,45
1102017,"0.5% or under","Before 2016",440,390,20,370,55,0,45
1102017,"0.5% or under","2016 to 2021",30,30,0,30,0,0,0
1102017,"0.6% to 1.25%","Total",545,440,235,200,105,0,105
1102017,"0.6% to 1.25%","Before 2016",485,395,210,180,100,0,100
1102017,"0.6% to 1.25%","2016 to 2021",55,45,25,20,0,0,0
1102017,"1.26% to 2%","Total",435,385,360,25,50,0,50
1102017,"1.26% to 2%","Before 2016",385,335,320,0,50,0,50
1102017,"1.26% to 2%","2016 to 2021",50,50,40,0,0,0,0
1102017,"2.1% to 3%","Total",175,165,165,0,0,0,0
1102017,"2.1% to 3%","Before 2016",125,120,120,0,0,0,0
1102017,"2.1% to 3%","2016 to 2021",50,45,45,0,0,0,0
1102017,"3.1% or over","Total",30,30,30,0,0,0,0
1102017,"3.1% or over","Before 2016",20,20,20,0,0,0,0
1102017,"3.1% or over","2016 to 2021",10,10,10,0,0,0,0
1102018,"Total","Total",615,580,330,245,40,0,40
1102018,"Total","Before 2016",570,535,320,215,30,0,30
1102018,"Total","2016 to 2021",50,40,0,30,0,0,0
1102018,"1+ person with limitation","Total",35,35,20,0,0,0,0
1102018,"1+ person with limitation","Before 2016",35,35,20,0,0,0,0
1102018,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1102018,"Veteran in household","Total",35,35,30,0,0,0,0
1102018,"Veteran in household","Before 2016",35,35,30,0,0,0,0
1102018,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1102018,"0.5% or under","Total",185,185,0,185,0,0,0
1102018,"0.5% or under","Before 2016",165,160,0,160,0,0,0
1102018,"0.5% or under","2016 to 2021",25,25,0,25,0,0,0
1102018,"0.6% to 1.25%","Total",180,150,90,65,25,0,25
1102018,"0.6% to 1.25%","Before 2016",170,150,90,60,20,0,20
1102018,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1102018,"1.26% to 2%","Total",175,165,165,0,0,0,0
1102018,"1.26% to 2%","Before 2016",170,165,165,0,0,0,0
1102018,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1102018,"2.1% to 3%","Total",55,55,55,0,0,0,0
1102018,"2.1% to 3%","Before 2016",50,50,50,0,0,0,0
1102018,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1102018,"3.1% or over","Total",20,20,20,0,0,0,0
1102018,"3.1% or over","Before 2016",20,20,20,0,0,0,0
1102018,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1102019,"Total","Total",140,125,70,55,15,0,0
1102019,"Total","Before 2016",115,110,65,45,0,0,0
1102019,"Total","2016 to 2021",25,15,0,0,0,0,0
1102019,"1+ person with limitation","Total",0,0,0,0,0,0,0
1102019,"1+ person with limitation","Before 2016",0,0,0,0,0,0,0
1102019,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1102019,"Veteran in household","Total",20,20,0,0,0,0,0
1102019,"Veteran in household","Before 2016",20,20,0,0,0,0,0
1102019,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1102019,"0.5% or under","Total",30,30,0,30,0,0,0
1102019,"0.5% or under","Before 2016",30,30,0,30,0,0,0
1102019,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1102019,"0.6% to 1.25%","Total",35,30,0,20,0,0,0
1102019,"0.6% to 1.25%","Before 2016",35,30,0,15,0,0,0
1102019,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1102019,"1.26% to 2%","Total",70,65,55,0,0,0,0
1102019,"1.26% to 2%","Before 2016",50,50,45,0,0,0,0
1102019,"1.26% to 2%","2016 to 2021",20,0,0,0,0,0,0
1102019,"2.1% to 3%","Total",0,0,0,0,0,0,0
1102019,"2.1% to 3%","Before 2016",0,0,0,0,0,0,0
1102019,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1102019,"3.1% or over","Total",0,0,0,0,0,0,0
1102019,"3.1% or over","Before 2016",0,0,0,0,0,0,0
1102019,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1102020,"Total","Total",NA,NA,NA,NA,NA,NA,NA
1102020,"Total","Before 2016",NA,NA,NA,NA,NA,NA,NA
1102020,"Total","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1102020,"1+ person with limitation","Total",NA,NA,NA,NA,NA,NA,NA
1102020,"1+ person with limitation","Before 2016",NA,NA,NA,NA,NA,NA,NA
1102020,"1+ person with limitation","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1102020,"Veteran in household","Total",NA,NA,NA,NA,NA,NA,NA
1102020,"Veteran in household","Before 2016",NA,NA,NA,NA,NA,NA,NA
1102020,"Veteran in household","2016 to 2021",NA,NA,NA,NA,NA,NA,NA
1102020,"0.5% or under","Total",NA,NA,NA,NA,NA,NA,NA
